ISO code,Country,Variable code,Variable name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
UKR,Ukraine,avh,Average annual hours worked by persons engaged,,,,,,,,,,,,,,,,2072.76,2077.8,2087.5,2082.21,2080.06,2095.75,2073.23,2068.66,2065.58,2077.13,2052.9,2073.73,2066.86,2064.69,2059.68,2007.73,2044.97,2044.97,2044.97
UKR,Ukraine,ccon,"Real consumption of households and government, at current PPPs (in mil. 2021US$)",423622.375,406855.65625,391930.90625,336155.75,299989.1875,283607.34375,259132.125,240097.9375,227226.140625,211089.078125,210294.046875,226326.296875,233236.140625,256848.6875,280956.25,334608.8125,375590.3125,428495.625,474752.96875,417625.6875,431469.03125,489752.21875,513813.4375,561780.8125,521304.96875,489208.84375,514879.09375,519422.875,543849.375,588161.1875,622717.3125,654898.75,588665,630001
UKR,Ukraine,cda,"Real domestic absorption, (real consumption plus investment), at current PPPs (in mil. 2021US$)",638223.875,576711.3125,531649.375,439971.78125,374005.96875,322291.375,287206.15625,268568.15625,256112.109375,235526.40625,241922.53125,264670.9375,272230.84375,305659.84375,332946.46875,394566.375,446661.3125,518290.75,568782.875,458684.59375,482516.9375,548387.125,579108.4375,625803.375,559791.6875,537228,585227.3125,596397.3125,620061.8125,664448.6875,673148.9375,749768.6875,648196,708005.0625
UKR,Ukraine,cgdpe,Expenditure-side real GDP at current PPPs (in mil. 2021US$),629518.875,588290.8125,542296.0625,438012.96875,362543.09375,312854.25,280128.8125,260753.703125,250216.75,249015.234375,254276.296875,268352.34375,284292.78125,313484.625,359599.84375,397796.0625,434733.09375,491425.78125,528352.5625,451378.96875,463810.1875,514390.4375,532996.25,572890,540830.9375,523556.59375,547330.375,553320.5,570280.0625,614957.8125,663115,739991.3125,556361.4375,585485.875
UKR,Ukraine,cgdpo,Output-side real GDP at current PPPs (in mil. 2021US$),634941.5,586391.625,544191.0625,434488.84375,353056.59375,307515.34375,292194.03125,268075.25,257410.703125,251205.90625,251568.8125,267766.125,281450.53125,314151.28125,345475.75,401823.6875,446712.0625,506768.40625,544123.4375,460484.25,475650.96875,529860.1875,547267,588100.5,536966.875,517638,555667.6875,569136,590451.5,635106.125,654739.3125,708698.3125,572931.125,618433.1875
UKR,Ukraine,ck,Capital services levels at current PPPs (USA=1),,,,,0.0486338026821613,0.0281952563673258,0.0239094570279121,0.0245322771370411,0.024534584954381,0.0241046417504549,0.0249453000724316,0.02537901699543,0.0266462899744511,0.0283272564411163,0.0278745517134666,0.0284295491874218,0.0283493362367153,0.0286996327340603,0.0292261727154255,0.0285906512290239,0.029143363237381,0.0287939142435789,0.0348474383354187,0.0415922217071056,0.0347042381763458,0.0429881848394871,0.0461487248539925,0.0505815297365189,0.0536458306014538,0.0615515932440758,0.0642841309309006,0.068515807390213,0.0659893378615379,0.0667175874114037
UKR,Ukraine,cn,Capital stock at current PPPs (in mil. 2021US$),3173342.25,3230774.25,3310697.75,3325169.25,3300314.5,3249639.25,3182742.75,3103248.25,3023124.75,2927351.5,2826324.75,2740761.75,2665452.5,2609060,2574833.75,2551913.25,2542580,2548402.25,2557186,2520028.75,2477774.25,2449072,3340658,4465739,3994172.75,5596734.5,6320156,7259791.5,8068618.5,9261586,9893602,10268907,10177476,10073253
UKR,Ukraine,cor_exp,Correlation between expenditure shares of the country and the US (benchmark observations only),,,,,,,,,,,,,,,,0.559826457288488,,,,,,0.587882670222518,0.473483680855897,0.513952177427507,0.492795954733722,0.506481590449762,0.499697212879935,0.45699755987572,0.516532980787708,0.523141634715542,0.537355417367125,0.563297878085989,,
UKR,Ukraine,csh_c,Share of household consumption at current PPPs,0.410215854644775,0.405141741037369,0.398292541503906,0.371335715055466,0.415945470333099,0.471938610076904,0.45311763882637,0.48758852481842,0.518961489200592,0.529667973518372,0.549255311489105,0.570929110050201,0.602341175079346,0.610188961029053,0.630696892738342,0.673380672931671,0.678648471832275,0.683703005313873,0.702071189880371,0.682722985744476,0.659374117851257,0.673556983470917,0.66812390089035,0.648698151111603,0.699774324893951,0.554325878620148,0.534822762012482,0.566415727138519,0.597293734550476,0.649904429912567,0.67002660036087,0.652364075183868,0.586138308048248,0.574927806854248
UKR,Ukraine,csh_g,Share of government consumption at current PPPs,0.256967484951019,0.288687497377396,0.321915745735168,0.402345240116119,0.433746039867401,0.450315654277802,0.433731853961945,0.408047825098038,0.363776236772537,0.310635030269623,0.286675214767456,0.274309605360031,0.226352035999298,0.207406550645828,0.182547599077225,0.159344747662544,0.16213995218277,0.161842241883278,0.170438498258591,0.224204212427139,0.24773858487606,0.250747621059418,0.270747691392899,0.306548178195953,0.271058350801468,0.39075317978859,0.391772598028183,0.346235871315002,0.323780000209808,0.276178896427155,0.281065374612808,0.271722704172134,0.441323816776276,0.443777233362198
UKR,Ukraine,csh_i,Share of gross capital formation at current PPPs,0.337986290454865,0.289662480354309,0.256745189428329,0.238938301801682,0.209645658731461,0.125795468688011,0.0960801094770432,0.106202386319637,0.112217463552952,0.0972800999879837,0.125724986195564,0.143201991915703,0.138549000024796,0.155374631285667,0.150488793849945,0.14921361207962,0.159098029136658,0.177191659808159,0.172809898853302,0.0891646519303322,0.107322178781033,0.11066110432148,0.119311027228832,0.108863309025764,0.0716742724180222,0.0927659496665001,0.126601278781891,0.135247901082039,0.129074811935425,0.120117738842964,0.0770255401730537,0.133865013718605,0.103906080126762,0.126131758093834
